巨宁,522631197409079328,13700928529,622568046437659359
关刚强,511523199312215398,13315403178,622568768004936992
轩辕凤毓,513233199109205141,13281935369,6222626990230418
种青,440811197601155822,13511454587,6214687054809770
公仪艳婕,150403196506049305,13543659551,622568573131869866
缑锦纯,542127197812018826,15120845633,6228484601545424798
郗荔融,542336196206113148,13594453534,622568472980388335
松娜薇,210283199901197165,15542976195,6222007677941250999
庄蕊蓓,419001197906292146,18643350466,6228489999004713683
司城莺,510132197206039727,13741200762,622568606596904633
籍杰,430522199601080699,15117718933,6222621976308902
康青,360481199805319741,13996574036,6225881043825757
巩博裕,513436196905313211,15666360312,6214689880113698
沈菲茗,54232819950927812X,15801068880,622568093259836124
郈聪,510701199904223887,13403375308,6228482875332790977
强黛,411402196702018125,15601524115,6222627892991001
漆颖艳,510682196011149068,18085276876,622568984615080476
法雅素,130425198310040740,13583527176,6214681260545128
劳玲,421301195908041203,15006511963,6225888938747270
车桂,654022195910031363,13977649890,622568858105565635
